id,source_url,in_reply_to_user_id,source,in_reply_to_status_id,in_reply_to_user_id_str,favorite_count,id_str,lang,in_reply_to_screen_name,in_reply_to_status_id_str,retweet_count,text,user,author
1.32153E+18,http://www.socialflow.com,,SocialFlow,,,2630,1321532880254836742,en,,,1327,"France to enter second national lockdown from Friday, with more businesses forced to shut but schools to stay open,… https://t.co/jLBBOuZR3A",BBCBreaking,BBCBreaking
1.32146E+18,http://www.socialflow.com,,SocialFlow,,,1486,1321462367834832897,en,,,399,"Family who died after boat sank in English Channel were Kurdish-Iranian, their 15-month-old baby is still missing https://t.co/alv9Rcs06p",BBCBreaking,BBCBreaking
1.32114E+18,http://www.socialflow.com,,SocialFlow,,,2350,1321138708536504320,en,,,779,"Two children, aged five and eight, among four dead after boat carrying migrants sank in the English Channel, French… https://t.co/aCg9d4mmch",BBCBreaking,BBCBreaking
1.32099E+18,https://about.twitter.com/products/tweetdeck,5402612,TweetDeck,1.32096E+18,5402612,1102,1320986905970941952,en,BBCBreaking,1320955784608493568,342,At least seven dead and more than 50 injured after explosion at religious school in Pakistan – officials now say th… https://t.co/jfb3AeLSts,BBCBreaking,BBCBreaking
1.32096E+18,http://www.socialflow.com,,SocialFlow,,,2023,1320955784608493568,en,,,734,"Bomb blast at religious school in Pakistani city of Peshawar leaves at least four dead, including children https://t.co/pO5j5NztDM",BBCBreaking,BBCBreaking
1.32088E+18,http://www.socialflow.com,,SocialFlow,,,1568,1320880096295661568,en,,,330,"US Senate confirms Donald Trump's pick for the vacant Supreme Court seat, Amy Coney Barrett, by 52 votes to 48 https://t.co/CPxG0a8XZW",BBCBreaking,BBCBreaking
1.32039E+18,http://www.socialflow.com,,SocialFlow,,,1336,1320385478613454849,en,,,359,"Police dealing with ""ongoing incident"" on board an oil tanker off the Isle of Wight, UK https://t.co/Cf4uwDppRf",BBCBreaking,BBCBreaking
1.31883E+18,http://www.socialflow.com,,SocialFlow,,,1023,1318827433370550272,en,,,327,"South Yorkshire to move to highest Tier 3 coronavirus restrictions from Saturday, Sheffield City Region mayor says https://t.co/RsmATPeT5w",BBCBreaking,BBCBreaking
1.31859E+18,http://www.socialflow.com,,SocialFlow,,,1192,1318588873333755906,en,,,379,"Greater Manchester to move to Tier 3 coronavirus restrictions from Friday, after failure to reach a deal with local… https://t.co/puwNs5ABP7",BBCBreaking,BBCBreaking
1.31815E+18,http://www.socialflow.com,,SocialFlow,,,2538,1318151264581058561,en,,,1161,"Wales to go into ""short sharp"" lockdown from Friday until 9 November, with people told to stay home, while non-esse… https://t.co/WsNHmwrg97",BBCBreaking,BBCBreaking
